query,recall,d1,dk,spread,orphan_neighbours
495,1.0000,214.4108,239.6289,1.1176,0
496,1.0000,170.1940,185.1675,1.0880,0
497,0.9000,235.2998,247.9819,1.0539,0
498,1.0000,93.1397,109.3755,1.1743,0
499,0.9000,227.5060,258.7045,1.1371,0
500,1.0000,199.4166,217.9059,1.0927,0
501,0.9000,245.3467,259.5727,1.0580,0
502,1.0000,203.8823,218.6573,1.0725,0
503,1.0000,240.5909,266.6365,1.1083,0
504,1.0000,206.3977,236.9810,1.1482,0
505,1.0000,243.8893,261.6964,1.0730,0
506,1.0000,259.1370,301.3370,1.1628,0
507,0.6000,224.9956,245.2631,1.0901,0
508,1.0000,228.3112,250.2399,1.0960,0
509,1.0000,178.1011,201.5837,1.1319,0
510,1.0000,258.4279,291.1323,1.1266,0
511,1.0000,201.0721,212.6429,1.0575,0
512,0.9000,270.4496,289.5531,1.0706,0
513,1.0000,247.7741,263.3268,1.0628,0
514,1.0000,88.1703,105.0286,1.1912,0
515,0.9000,204.3159,222.2274,1.0877,0
516,0.9000,204.6485,225.1511,1.1002,0
517,1.0000,95.1315,110.8332,1.1651,0
518,1.0000,173.1762,194.2498,1.1217,0
519,1.0000,215.8449,225.6302,1.0453,0
520,0.9000,214.8511,228.4579,1.0633,0
521,1.0000,139.3521,154.1266,1.1060,0
522,1.0000,238.8807,265.8515,1.1129,0
523,1.0000,304.3731,330.3014,1.0852,0
524,1.0000,186.8957,195.8852,1.0481,0
525,1.0000,168.5912,184.8161,1.0962,0
526,1.0000,200.3597,226.0044,1.1280,0
527,1.0000,107.3546,121.7333,1.1339,0
528,0.7000,249.9180,264.0852,1.0567,0
529,1.0000,246.3230,283.7693,1.1520,0
530,1.0000,209.6998,223.0919,1.0639,0
531,1.0000,255.9082,268.1399,1.0478,0
532,1.0000,45.8367,68.0368,1.4843,0
533,1.0000,162.2128,176.7371,1.0895,0
534,1.0000,212.3229,236.5650,1.1142,0
535,1.0000,169.5641,183.7063,1.0834,0
536,1.0000,171.3739,243.2900,1.4196,0
537,1.0000,212.4476,236.1779,1.1117,0
538,1.0000,180.5907,193.7473,1.0729,0
539,0.8000,225.2776,237.2594,1.0532,0
540,1.0000,231.5707,253.5094,1.0947,0
541,1.0000,199.2285,211.1777,1.0600,0
542,1.0000,175.1114,198.7083,1.1348,0
543,1.0000,128.7711,151.3506,1.1753,0
544,0.9000,210.8673,227.3543,1.0782,0
545,1.0000,129.9846,298.4560,2.2961,0
546,1.0000,182.0494,195.3049,1.0728,0
547,0.9000,203.6517,234.8659,1.1533,0
548,0.9000,226.7157,257.4840,1.1357,0
